CODIGO;NOMBRE;DTO_CINFA;DTO_NORMON
6924327;A. ACETILSALICILICO CINFAMED 100 30C;20;
6629826;AC. ALENDRON CINFAMED 70 4C;50;30
6597774;ACECLOFENACO 100 20C;50;30
6597781;ACECLOFENACO 100 40C;50;30
6504291;ACETILCISTEINA 100 30SOB;50;30
6504277;ACETILCISTEINA 200 30SOB;50;30
6543122;ACETILCISTEINA 600 20C;50;30
6504260;ACETILCISTEINA 600 20SOB;50;30
7267591;ACICLOVIR 200 25C;50;30
7284604;ACICLOVIR 800 35C;50;30
7605799;ACICLOVIR 800 35C DISP;50;30
6819838;ACIDO IBANDRONICO 150 1C;50;30
6819852;ACIDO IBANDRONICO 150 3C;50;30
7021094;ALMOTRIPTAN 12,5 4C;50;30
7021100;ALMOTRIPTAN 12,5 6C;50;30
7255772;ALOPURINOL CINFAMED 100 100C;20;30
7255765;ALOPURINOL CINFAMED 100 25C;20;30
7255789;ALOPURINOL CINFAMED 300 30C;20;30
976423;ALPRAZOLAM 0,25 30C;50;50
832758;ALPRAZOLAM 0,5 30C;50;50
832279;ALPRAZOLAM 1 30C;50;50
831586;ALPRAZOLAM 2 30C;50;50
832188;ALPRAZOLAM 2 50C;50;50
7200185;AMBROXOL 3MG/ML JARABE 200ML;50;30
7314615;AMLOD/VALSAR CFMED 10/160 28C;50;
7314639;AMLOD/VALSAR CFMED 5/160 28C;50;
7287926;AMLODIP/VALS/HCTZ 10/160/12,5 28C;50;
7287933;AMLODIP/VALS/HCTZ 10/160/25 28C;50;
7287940;AMLODIP/VALS/HCTZ 10/320/25 28C;50;
7287957;AMLODIP/VALS/HCTZ 5/160/12,5 28C;50;
7287964;AMLODIP/VALS/HCTZ 5/160/25 28C;50;
6533987;AMLODIPINO 10 30C;20;
6533970;AMLODIPINO 5 30C;20;
6947548;AMOX/CLAV 250/62,5 30SOB;30;
6947555;AMOX/CLAV 500/125 30SOB;30;
6947593;AMOX/CLAV 875/125 20C;30;
6947562;AMOX/CLAV 875/125 20SOB;30;
6947616;AMOX/CLAV 875/125 30C;30;
6947579;AMOX/CLAV 875/125 30SOB;30;
6947586;AMOX/CLAV CINFAMED 500/125 30C;30;
6946886;AMOXICILINA 1G 20C;30;25
6946909;AMOXICILINA 1G 20SOB;30;25
6946893;AMOXICILINA 1G 30C;30;25
6946916;AMOXICILINA 1G 30SOB;30;25
6946923;AMOXICILINA 500 20CAP;30;25
6946947;AMOXICILINA 500 20SOB;30;25
6946930;AMOXICILINA 500 30CAP;30;25
6946961;AMOXICILINA 500 30SOB;30;25
6632796;ANASTROZOL 1 28C;50;70
7046066;ARIPIPRAZOL 10 28C;50;70
7046073;ARIPIPRAZOL 15 28C;50;70
7636090;ARIPIPRAZOL 20 28C;50;70
