Codigo_Nacional;Codigo;Nombre;Total Ventas;ventas1;ventas2;ventas3;ventas4;ventas5;ventas6;ventas7;ventas8;ventas9;ventas10;ventas11;ventas12;
226E2611;226E2611;226ERS 6.4 AMINO + 120 CAPSULAS;1;0;0;0;0;0;0;0;0;0;0;0;1;
226E5123;226E5123;226ERS BIDON BLANCO 1L 1 UD;3;0;0;1;1;0;0;0;1;0;0;0;0;
226E5125;226E5125;226ERS BIDON BLANCO 550ML 1 UD;2;0;0;2;0;0;0;0;0;0;0;0;0;
226E5127;226E5127;226ERS BIDON BLANCO 750ML 1 UD;3;0;0;2;0;0;0;0;0;1;0;0;0;
226E5124;226E5124;226ERS BIDON SUPERLIGHT HYDRAZERO 550ML 1 UD;2;0;0;0;0;0;1;1;0;0;0;0;0;
226E5126;226E5126;226ERS BIDON SUPERLIGHT HYDRAZERO 750ML 1 UD;1;0;0;0;0;0;0;1;0;0;0;0;0;
226E5128;226E5128;226ERS BIDON THERMO 750ML 1 UD;0;0;-1;0;1;0;0;0;0;0;0;0;0;
226E1201;226E1201;226ERS CHEW SALTS 13 COMPRIMIDOS MASTICABLES;6;0;0;0;0;0;0;4;1;0;0;0;1;
226E1213;226E1213;226ERS CREATINA CREAPURE POLVO 300 GRAMOS;3;1;0;1;0;0;0;0;0;0;0;1;0;
226E1212;226E1212;226ERS CREATINA POLVO 300 GRAMOS;4;1;0;1;0;0;0;0;2;0;0;0;0;
226E3200;226E3200;226ERS CREMA DE CACAHUETE 320GR;1;0;0;1;0;0;0;0;0;0;0;0;0;
226E0012;226E0012;226ERS ENDURANCE BAR BCAAs - MANZANA & CANELA;21;2;3;3;1;1;0;1;0;0;1;9;0;
226E0067;226E0067;226ERS ENDURANCE BAR CHOCO BITS & FRESA 60GR;32;0;6;0;4;4;9;4;0;0;0;5;0;
226E0036;226E0036;226ERS ENDURANCE BAR CHOCOLATE NEGRO 60GR;18;0;0;0;0;0;5;0;0;6;1;6;0;
226E1133;226E1133;226ERS ENERGY DRINK FRUTOS ROJOS 1000GR;2;0;0;0;0;0;0;0;1;0;0;1;0;
226E1125;226E1125;226ERS ENERGY DRINK LIMON MONODOSIS 50GR;2;2;0;0;0;0;0;0;0;0;0;0;0;
226E0227;226E0227;226ERS ENERGY GEL BIO 25G LIMON CAFEINA 25MG;1;0;0;0;0;0;0;0;0;0;1;0;0;
226E0391;226E0391;226ERS ENERGY SHOT 60ML 1UD;21;0;0;0;0;0;0;0;0;0;20;0;1;
226E7708;226E7708;226ERS ENERGY SHOT STICK EXTREME BANANA 250MG CAFEINA 60ml;16;0;0;1;0;0;0;2;8;1;3;0;1;
226E7707;226E7707;226ERS ENERGY SHOT STICK EXTREME BLUE ENERGY 250MG CAFEINA 60ml;13;0;0;2;0;0;0;0;6;1;3;0;1;
226E1205;226E1205;226ERS FISH OIL OMEGA 3 120 CAPSULAS BLANDAS;2;1;0;0;0;0;0;0;0;0;1;0;0;
226E1211;226E1211;226ERS GLUTAMINA POLVO 300 GRAMOS;1;0;0;1;0;0;0;0;0;0;0;0;0;
226E0399;226E0399;226ERS HIGH ENERGY GEL BANANA 76gr 1 UD;29;0;0;1;1;1;4;0;0;2;0;0;20;
226E0400;226E0400;226ERS HIGH ENERGY GEL BCAAS NARANJA 76gr 1 UD;13;0;0;1;1;2;9;0;0;0;0;0;0;
226E0401;226E0401;226ERS HIGH ENERGY GEL CAFE ESPRESO CON CAFEINA 76gr 1 UD;35;0;0;21;2;0;0;3;5;0;2;0;2;
226E0398;226E0398;226ERS HIGH ENERGY GEL CEREZA CON CAFEINA 76gr 1 UD;199;0;0;3;2;0;3;0;64;17;46;24;40;
226E0396;226E0396;226ERS HIGH ENERGY GEL LIMON 76gr 1 UD;16;0;0;0;7;0;4;2;3;0;0;0;0;
226E0410;226E0410;226ERS HIGH ENERGY GEL NEUTRAL 76gr 1 UD;8;0;0;0;0;0;0;1;3;0;0;0;4;
226E0411;226E0411;226ERS HIGH ENERGY GEL SALTY FRESA 76gr 1 UD;13;0;0;1;0;1;4;1;1;1;4;0;0;
226E5898;226E5898;226ERS HIGH FRUCTOSE GEL 80 GR BANANA 1 UD;30;4;0;0;0;0;8;1;1;5;3;8;0;
226E5896;226E5896;226ERS HIGH FRUCTOSE GEL 80 GR CAFEINA 100MG COLA 1 UD;16;1;1;0;0;0;1;0;1;3;5;4;0;
