Código;Cód. Nacional;Descripción;Unidades;P.C.M.;P.C.M. Línea;P.V.P. Línea;P.V.P.;IVA;Caducidad;
8470006865804;686580;A A S 100 MG 30 COM;1;0,99;0,99;1,45;1,45;4,00;01/06/2027;
8470007006930;700693;AAS 500 MG 20 COMPRIMIDOS;1;1,70;1,70;2,50;2,50;4,00;01/08/2027;
8470007281962;728196;ABILIFY 10 MG 28 COMP;1;32,17;32,17;47,18;47,18;4,00;01/03/2027;
8470007207993;720799;ABILIFY 10 MG 28 COMP DIF;3;26,84;80,52;141,54;47,18;4,00;01/08/2027;
8470006516089;651608;ABILIFY 10 MG 28 COMP DISP;1;33,70;33,70;47,18;47,18;4,00;01/07/2026;
8470007208150;720815;ABILIFY 15 MG 28 COMP DIF;1;33,16;33,16;70,76;70,76;4,00;01/08/2027;
8470006527382;652738;ABILIFY 1MGML S OR 150ML;1;17,23;17,23;25,27;25,27;4,00;01/11/2027;
8470007281542;728154;ABILIFY 5 MG 28 COMP;1;16,08;16,08;23,59;23,59;4,00;01/04/2028;
ABOCA248;ABOCA248;ABOCA VITAMINA C NATURCOMPLEX PACK DUPLO 2x20 SOBRES 5 g;4;11,11;44,44;79,80;19,95;10,00;01/03/2028;
8470004784879;478487;ABS PANTS DIA MEDIANO 80UI;1;20,88;20,88;31,14;31,14;10,00;01/07/2027;
8470004762679;476267;ABS PANTS NOCHE GRANDE 80UI;1;21,82;21,82;43,91;43,91;10,00;01/12/2036;
8470004849721;484972;ABS PANTS NUDE NOCH GRD 80 UI;1;36,44;36,44;43,91;43,91;10,00;01/07/2027;
8470004694604;469460;ABS PANTS SNOCHE GRANDE 80UI;1;43,65;43,65;52,70;52,70;10,00;01/11/2027;
8470004921243;492124;ABS-ECO ANAT ELAST DIA GD 80U;1;25,99;25,99;31,14;31,14;10,00;01/12/2027;
8470004921328;492132;ABS-ECO ANAT ELAST DIA MD 80U;1;26,63;26,63;31,14;31,14;10,00;01/11/2032;
8470007102663;710266;AC ACETIL ARISTO 100MG 100COM;1;2,48;2,48;3,64;3,64;4,00;01/04/2028;
8470006629826;662982;AC ALENDRONICO CINFAMED70MG4CO;1;3,34;3,34;9,99;9,99;4,00;01/05/2028;
8470006610077;661007;AC ALENDRONICO NORMON 70MG 4CO;1;2,68;2,68;9,99;9,99;4,00;01/06/2027;
8470006835258;683525;AC IBANDRONICO NORMON 150MG 1C;1;6,09;6,09;13,00;13,00;4,00;01/11/2026;
8470007104377;710437;AC TRANEXAMICO TILLOMED500MG30;1;3,30;3,30;4,62;4,62;4,00;01/11/2027;
8470007007258;700725;ACALKA 1080 MG 100 COM;1;17,96;17,96;26,35;26,35;4,00;01/06/2027;
8470006639917;663991;ACECLOFENACO NORMON 100MG 20CO;1;1,33;1,33;2,83;2,83;4,00;01/02/2027;
8470006633618;663361;ACEDIUR 30 COMP;2;1,27;2,54;3,68;1,84;4,00;01/10/2028;
8470008662289;866228;ACEOTO PLUS GOT 10 ML;1;5,40;5,40;7,91;7,91;4,00;01/03/2027;
8470006504277;650427;ACETILCISTEINA CINF 200M 30S I;1;1,79;1,79;5,35;5,35;4,00;01/10/2027;
8470006543122;654312;ACETILCISTEINA CINF 600M 20C I;2;1,89;3,78;11,00;5,50;4,00;01/10/2028;
8470006504260;650426;ACETILCISTEINA CINF 600M 20S I;1;1,82;1,82;5,45;5,45;4,00;01/11/2027;
8470009395797;939579;ACFOL 5 MG 28 COMP;20;1,69;33,80;50,00;2,50;4,00;01/08/2030;
8470007291039;729103;ACICLOVIR NORMON 50 MG CR 15 G;1;6,77;6,77;14,47;14,47;4,00;01/03/2028;
8470006589144;658914;ACICLOVIR NORMON 50MG CR 2 G;1;1,86;1,86;3,98;3,98;4,00;01/08/2028;
8470007290957;729095;ACICLOVIR NORMON 800 MG 35COM;1;24,81;24,81;52,95;52,95;4,00;01/09/2027;
8470001307101;130710;ACIDO ACETICO GLACIAL 1 L ACOFAR;1;34,04;34,04;0,00;0,00;21,00;01/06/2029;
8470000837098;083709;ACIDO BORICO 50 G PROD QUIMICO;1;5,31;5,31;7,41;7,41;21,00;01/12/2029;
8470007655923;765592;ACIDO FOLICO ARISTO 5MG 84COM;1;4,74;4,74;6,95;6,95;4,00;01/05/2027;
8470007005056;700505;ACIDO FOLICO ASPOL 10MG 50CAP;1;5,64;5,64;8,27;8,27;4,00;01/09/2028;
8470001269799;126979;ACIDO SALICILICO 100 G META;1;6,20;6,20;8,74;8,74;21,00;01/12/2026;
8470003245913;324591;ACNIBEN LIMPIADOR PURIF 150;1;9,09;9,09;13,95;13,95;21,00;01/12/2026;
8470002000704;200070;ACNIBEN REPAIR GEL CR CALMA 40;1;16,41;16,41;23,95;23,95;21,00;01/12/2028;
8470001925312;192531;ACOFAR DISCOS SUPER ABSORBENTES DE LACTANCIA 36 UNIDADES;1;4,71;4,71;6,95;6,95;21,00;01/12/2026;
8470001903747;190374;ACOFAR KINESIOLOGY TAPE VENDAJE 1 UNIDAD 5 m x 5 cm COLOR AZUL;1;4,71;4,71;7,95;7,95;10,00;01/11/2026;
ACOF7958;ACOF7958;ACOFAR VIVERA FRESHMINT 18 PERLAS 1 UNIDAD;10;0,82;8,20;19,50;1,95;10,00;01/02/2027;
ACOF9349;ACOF9349;ACOFAR VIVERA GEL CERO FLOR AZAHAR 750ML;3;1,41;4,23;8,85;2,95;21,00;01/01/2028;
8470001025067;102506;ACOFAR VIVERA GEL CERO TRIPLO 3X750 ML;1;4,94;4,94;9,95;9,95;21,00;01/10/2027;
