Codigo_Nacional;Nombre;TIPO;ATC;LABORATORIO;PVP_CIMA;VENTAS_2024;VENTAS_2025;VENTAS_2026;VENTAS_TOTAL
766374;ENANDOL 25MG 16 COMP;MEDICAMENTO;M01A;Menarini Consumer Healthcare S.A.U.;"";0;47;12;59
765082;ALCOSIN 20MG 30COM;MEDICAMENTO;C10A;Industria Quimica Y Farmaceutica Vir S.A.;"";0;20;5;25
766388;FORTASEC 2 MG 12 CAPS;MEDICAMENTO;A07D;Jntl Consumer Health (Spain) S.L.;"";0;17;5;22
765466;NAPROXENO SOD NORMON 550MG10CO;MEDICAMENTO;M01A;Laboratorios Normon S.A.;"";0;13;2;15
765216;LAMICTAL 200 MG 30 CO DISP DIF;MEDICAMENTO;N03A;Laboratoire Glaxosmithkline;"";0;5;10;15
776435;PANTECTA 20 MG 28 COMP;MEDICAMENTO;A02B;Takeda Gmbh;"";7;7;1;15
766382;DIFENATIL 650MG 20COM;MEDICAMENTO;N02B;Laboratorios Normon S.A.;"";0;14;1;15
766001;ADENURIC 80 MG 28 COM;MEDICAMENTO;M04A;Menarini International Operations Luxembourg S.A.;"";0;10;5;15
997585;BACTROBAN PDA 15 G;MEDICAMENTO;D06A;Glaxosmithkline S.A.;"";0;12;1;13
936526;TROMALYT 300 MG 28 CAPS;MEDICAMENTO;B01A;Viatris Healthcare Limited;"";0;10;3;13
959791;LINITUL 5.5X8 CM;MEDICAMENTO;D09A;Alfasigma Espana S.L.;"";0;10;2;12
765467;NAPROXENO SOD NORMON 550MG40CO;MEDICAMENTO;M01A;Laboratorios Normon S.A.;"";0;5;7;12
849844;FORSTEO 20 MCG PLUMA;MEDICAMENTO;H05A;Eli Lilly Nederland B.V.;"";0;9;2;11
767089;TAMSULOSINA CINFA 0.4 MG 30CAP;MEDICAMENTO;G04C;Laboratorios Cinfa S.A.;"";0;0;10;10
886200;GELOCATIL GRIPE 20 COMP;MEDICAMENTO;N02B;Ferrer Internacional S.A.;"";0;8;2;10
880666;SOLIAN 200 MG 60 COMP;MEDICAMENTO;N05A;Sanofi Aventis S.A.;"";0;9;0;9
766062;BILAXTEN FLAS 10MG 30COMP BUCO;MEDICAMENTO;R06A;Faes Farma S.A.;"";0;7;1;8
778779;TAMIFLU 75 MG 10 CAPS DURAS;MEDICAMENTO;J05A;Roche Registration Gmbh;"";0;5;3;8
817585;ACICLOVIR STADA CR 50MG 2G;MEDICAMENTO;D06B;Laboratorio Stada S.L.;"";0;6;1;7
954925;ACTRON COMPUESTO 20 COMP EFER;MEDICAMENTO;N02B;Bayer Hispania S.L.;"";0;7;0;7
866624;AROMASIL 25 MG 30 COMP;MEDICAMENTO;L02B;Pfizer S.L.;"";0;6;1;7
872390;AMBROXOL NORMON JBE 200 ML;MEDICAMENTO;R05C;Laboratorios Normon S.A.;"";0;1;6;7
764610;DOLQUINE 300 MG 30 COMP;MEDICAMENTO;P01B;Products And Technology S.L.;"";0;4;2;6
765997;METFORMINA STADAF 850MG 60COM;MEDICAMENTO;A10B;Laboratorio Stada S.L.;"";0;4;2;6
845800;PAUSEDAL 25 MG 60 COMP;MEDICAMENTO;N05A;Laboratorios Alter S.A.;"";0;5;1;6
960633;RELERT 20 MG 4 COMP;MEDICAMENTO;N02C;Viatris Healthcare Limited;"";0;5;1;6
935056;METAMIZOL NORMON 575 MG 10CAPS;MEDICAMENTO;N02B;Laboratorios Normon S.A.;"";0;5;0;5
999795;FUCIDINE PDA 15 G;MEDICAMENTO;D06A;Laboratorios Leo Pharma S.A.;"";0;1;4;5
915900;INDAPAMIDA NORMON 2.5 MG 30 CO;MEDICAMENTO;C03B;Laboratorios Normon S.A.;"";0;5;0;5
764555;VOLTAREN COLI 5 ML;MEDICAMENTO;S01B;Laboratoires Thea;"";0;5;0;5
765207;ANTIDOL DUAL 500200MG 20COM;MEDICAMENTO;N02B;Laboratorios Cinfa S.A.;"";0;5;0;5
965673;RHINOSPRAY EUCALIPTUS 10 ML;MEDICAMENTO;R01A;Opella Healthcare Spain S.L.;"";0;4;1;5
897983;ARIXTRA 2.5 MG0.5 ML 10 JGA;MEDICAMENTO;B01A;Viatris Healthcare Limited;"";0;5;0;5
767619;QUETIAPINA NORMON 50MG 60COMP;MEDICAMENTO;N05A;Laboratorios Normon S.A.;"";0;3;2;5
852582;EVRA 3 PARCHES TRANSDERMICOS;MEDICAMENTO;G03A;Gedeon Richter Plc.;"";0;4;0;4
