Codigo_Nacional;Codigo;Nombre;Total Ventas;ventas1;ventas2;ventas3;ventas4;ventas5;ventas6;ventas7;ventas8;ventas9;ventas10;ventas11;ventas12;"";Año;Total_Ventas;Nombre_Nomenclator;Laboratorio;Principio_Activo;Estado;PVP_Referencia;Unidades_Vendidas;Ingresos_Estimados_PVP;Q1_Ventas;Q2_Ventas;Q3_Ventas;Q4_Ventas
226E2009;226E2009;226ERS CAFFEINE EXPRESS 100MG 100 CAPS;1;0;0;0;0;1;0;0;0;0;0;0;0;;2024;1;;;;;;1;;0;1;0;0
226E1201;226E1201;226ERS CHEW SALTS 13 COMPRIMIDOS MASTICABLES;4;1;2;0;0;1;0;0;0;0;0;0;0;;2024;4;;;;;;4;;3;1;0;0
226E1213;226E1213;226ERS CREATINA CREAPURE POLVO 300 GRAMOS;2;1;0;1;0;0;0;0;0;0;0;0;0;;2024;2;;;;;;2;;2;0;0;0
226E1212;226E1212;226ERS CREATINA POLVO 300 GRAMOS;19;0;3;2;6;0;3;0;1;0;1;3;0;;2024;19;;;;;;19;;5;9;1;4
226E1131;226E1131;226ERS ENERGY DRINK LIMON 1000GR;1;0;0;0;0;1;0;0;0;0;0;0;0;;2024;1;;;;;;1;;0;1;0;0
226E1125;226E1125;226ERS ENERGY DRINK LIMON MONODOSIS 50GR;11;2;0;0;0;5;0;0;0;0;0;3;1;;2024;11;;;;;;11;;2;5;0;4
226E0227;226E0227;226ERS ENERGY GEL BIO 25G LIMON CAFEINA 25MG;11;3;7;0;0;0;0;0;0;0;0;1;0;;2024;11;;;;;;11;;10;0;0;1
226E0391;226E0391;226ERS ENERGY SHOT 60ML 1UD;124;4;24;0;36;12;24;0;0;24;0;0;0;;2024;124;;;;;;124;;28;72;24;0
226E0401;226E0401;226ERS HIGH ENERGY GEL CAFE ESPRESO CON CAFEINA 76gr 1 UD;6;0;0;0;0;0;1;1;1;0;0;3;0;;2024;6;;;;;;6;;0;1;2;3
226E0398;226E0398;226ERS HIGH ENERGY GEL CEREZA CON CAFEINA 76gr 1 UD;251;36;10;35;21;3;3;0;14;46;26;17;40;;2024;251;;;;;;251;;81;27;60;83
226E0396;226E0396;226ERS HIGH ENERGY GEL LIMON 76gr 1 UD;37;4;1;4;4;4;6;0;2;12;0;0;0;;2024;37;;;;;;37;;9;14;14;0
226E7002;226E7002;226ERS HIGH FRUCTOSE ENERGY DRINK 90g LIMON SUAVE 1KG 1 UD;1;1;0;0;0;0;0;0;0;0;0;0;0;;2024;1;;;;;;1;;1;0;0;0
226E5896;226E5896;226ERS HIGH FRUCTOSE GEL 80 GR CAFEINA 100MG COLA 1 UD;27;4;6;0;5;2;3;0;0;4;3;0;0;;2024;27;;;;;;27;;10;10;4;3
226E7700;226E7700;226ERS HYDRAJELLY COLA 40g;6;2;0;0;0;0;1;3;0;0;0;0;0;;2024;6;;;;;;6;;2;1;3;0
226E1008;226E1008;226ERS HYDRAZERO DRINK LIMON 225GR 1 UNIDAD;1;0;1;0;0;0;0;0;0;0;0;0;0;;2024;1;;;;;;1;;1;0;0;0
226E1002;226E1002;226ERS HYDRAZERO DRINK LIMON 7.5GR 1 UNIDAD;19;1;8;0;3;0;3;0;0;2;0;2;0;;2024;19;;;;;;19;;9;6;2;2
226E1007;226E1007;226ERS HYDRAZERO DRINK TROPICAL 225GR 1 UNIDAD;1;1;0;0;0;0;0;0;0;0;0;0;0;;2024;1;;;;;;1;;1;0;0;0
226E1003;226E1003;226ERS HYDRAZERO DRINK TROPICAL 7.5GR 1 UNIDAD;2;2;0;0;0;0;0;0;0;0;0;0;0;;2024;2;;;;;;2;;2;0;0;0
226E1035;226E1035;226ERS ISOTONIC DRINK FRUTOS ROJOS 1000G 1 UD;1;0;0;0;0;1;0;0;0;0;0;0;0;;2024;1;;;;;;1;;0;1;0;0
226E1030;226E1030;226ERS ISOTONIC DRINK LIMON 1000G 1 UD;1;0;0;0;1;0;0;0;0;0;0;0;0;;2024;1;;;;;;1;;0;1;0;0
226E1026;226E1026;226ERS ISOTONIC DRINK LIMON 20G 1 UD;9;1;8;0;0;0;0;0;0;0;0;0;0;;2024;9;;;;;;9;;9;0;0;0
226E1029;226E1029;226ERS ISOTONIC DRINK LIMON 500G 1 UD;1;0;0;0;0;0;0;0;0;0;0;1;0;;2024;1;;;;;;1;;0;0;0;1
226E1032;226E1032;226ERS ISOTONIC DRINK MANGO 1000G 1 UD;1;0;0;0;0;0;0;0;1;0;0;0;0;;2024;1;;;;;;1;;0;0;1;0
226E0394;226E0394;226ERS ISOTONIC GEL COLA CAFEINA 68gr 1 UD;30;4;3;2;9;0;0;3;2;2;0;5;0;;2024;30;;;;;;30;;9;9;7;5
226E0393;226E0393;226ERS ISOTONIC GEL LIMA 68gr 1 UD;17;0;0;2;5;3;3;1;1;0;0;2;0;;2024;17;;;;;;17;;2;11;2;2
226E0777;226E0777;226ERS K-WEEKS IMMUNE 1000GR CAPUCCINO;5;0;0;1;0;2;0;0;1;0;1;0;0;;2024;5;;;;;;5;;1;2;1;1
226E0784;226E0784;226ERS K-WEEKS IMMUNE 1000GR CHOCOLATE;1;0;1;0;0;0;0;0;0;0;0;0;0;;2024;1;;;;;;1;;1;0;0;0
226E2511;226E2511;226ERS NEO BAR 46% PROTEIN CACAHUETES & CHOCOLATE 50GR;6;0;0;0;0;0;0;0;0;0;0;0;6;;2024;6;;;;;;6;;0;0;0;6
226E2528;226E2528;226ERS NEO BAR 46% PROTEIN CHOCOLATE BLANCO & FRESA 50GR;49;5;0;0;23;1;14;0;0;0;0;5;1;;2024;49;;;;;;49;;5;38;0;6
226E2504;226E2504;226ERS NEO BAR 46% PROTEIN COCO & CHOCOLATE 50GR;10;5;0;0;5;0;0;0;0;0;0;0;0;;2024;10;;;;;;10;;5;5;0;0
226E6563;226E6563;226ERS NITRO PRO SABOR REMOLACHA MONODOSIS 1 UD;1;0;0;0;0;0;1;0;0;0;0;0;0;;2024;1;;;;;;1;;0;1;0;0
226E0082;226E0082;226ERS PROTEINA ISOLATED CHOCOLATE 1 KG;4;0;1;0;1;0;1;0;1;0;0;0;0;;2024;4;;;;;;4;;1;2;1;0
226E0083;226E0083;226ERS PROTEINA ISOLATED VAINILLA 1 KG;7;0;0;1;0;1;0;0;1;0;2;2;0;;2024;7;;;;;;7;;1;1;1;4
226E8327;226E8327;226ERS PROTEINA WHEY CAPUCCINO 1 KG;1;0;1;0;0;0;0;0;0;0;0;0;0;;2024;1;;;;;;1;;1;0;0;0
226E8328;226E8328;226ERS PROTEINA WHEY CHOCOLATE 1 KG;5;0;0;1;0;1;1;0;0;0;1;1;0;;2024;5;;;;;;5;;1;2;0;2
226E8329;226E8329;226ERS PROTEINA WHEY VAINILLA 1 KG;3;0;0;0;2;0;0;0;0;0;0;1;0;;2024;3;;;;;;3;;0;2;0;1
226E2269;226E2269;226ERS RACE DAY BAR BCCAS CHOCOLATE NEGRO 40GR;11;0;0;0;0;2;5;0;1;0;0;3;0;;2024;11;;;;;;11;;0;7;1;3
226E2283;226E2283;226ERS RACE DAY BAR BCCAS PLATANO & JENGIBRE 40GR;7;0;0;0;0;5;1;0;0;1;0;0;0;;2024;7;;;;;;7;;0;6;1;0
226E2666;226E2666;226ERS RECOVERY DRINK CHOCOLATE 1000GR;1;0;0;0;1;0;0;0;0;0;0;0;0;;2024;1;;;;;;1;;0;1;0;0
