CODIGO,NOMBRE,LABORATORIO / TITULAR EN ESPAÑA,TIPO LEGAL,CATEGORIA PRINCIPAL,SUBCATEGORIA DETALLADA,ATC,PVP OFICIAL ESPAÑA (€),PRECIO MEDIO FARMACIA ONLINE ESPAÑA (€)
226E2009,226ERS CAFFEINE EXPRESS 100MG 100 CAPS,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Cafeína en cápsulas,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E1201,226ERS CHEW SALTS 13 COMPRIMIDOS MASTICABLES,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Sales minerales/electrolitos,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E1213,226ERS CREATINA CREAPURE POLVO 300 GRAMOS,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Creatina,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E1212,226ERS CREATINA POLVO 300 GRAMOS,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Creatina,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E1131,226ERS ENERGY DRINK LIMON 1000GR,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Bebidas isotónicas/energéticas,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E1125,226ERS ENERGY DRINK LIMON MONODOSIS 50GR,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Bebidas isotónicas/energéticas,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E0227,226ERS ENERGY GEL BIO 25G LIMON CAFEINA 25MG,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Geles energéticos,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E0391,226ERS ENERGY SHOT 60ML 1UD,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Shots energéticos,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E0401,226ERS HIGH ENERGY GEL CAFE ESPRESO CON CAFEINA 76gr 1 UD,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Geles energéticos,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E0398,226ERS HIGH ENERGY GEL CEREZA CON CAFEINA 76gr 1 UD,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Geles energéticos,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E0396,226ERS HIGH ENERGY GEL LIMON 76gr 1 UD,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Geles energéticos,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E7002,226ERS HIGH FRUCTOSE ENERGY DRINK 90g LIMON SUAVE 1KG 1 UD,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Bebidas isotónicas/energéticas,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E5896,226ERS HIGH FRUCTOSE GEL 80 GR CAFEINA 100MG COLA 1 UD,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Geles energéticos,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E7700,226ERS HYDRAJELLY COLA 40g,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Geles energéticos,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E1008,226ERS HYDRAZERO DRINK LIMON 225GR 1 UNIDAD,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Bebidas isotónicas/energéticas,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
