CODIGO;NOMBRE;LABORATORIO;CATEGORIA;SUBCATEGORIA;PVP_AI;PVP_FARMACIA
226E2009;226ERS CAFFEINE EXPRESS;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;18,5;
226E1201;226ERS CHEW SALTS 13 C;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;6,5;
226E1213;226ERS CREATINA CREAPURE;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;29,9;
226E1212;226ERS CREATINA POLVO;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;24,5;
226E1131;226ERS ENERGY DRINK 1KG;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;28;
226E1125;226ERS ENERGY DRINK 50G;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;2,5;
226E0391;226ERS ENERGY SHOT 60ML;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;3,5;
226E0401;226ERS HIGH ENERGY GEL;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;2,95;
226E0398;226ERS HIGH ENERGY GEL;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;2,95;
226E0396;226ERS HIGH ENERGY GEL;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;2,95;
226E7002;226ERS HIGH FRUCTOSE 1KG;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;32;
226E5896;226ERS HIGH FRUCTOSE GEL;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;3,5;
226E7700;226ERS HYDRAJELLY COLA;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;2,5;
226E1008;226ERS HYDRAZERO LIMON;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;19,9;
226E1002;226ERS HYDRAZERO 7.5G;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;1,5;
226E1007;226ERS HYDRAZERO TROPIC;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;19,9;
226E1003;226ERS HYDRAZERO 7.5G;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;1,5;
