Almac�n;CODIGO;Desc. c�digo;Stock;Caducidad;Ubicaci�n;Precio;Importe;P.de Venta;Importe Venta;Dif. Precio;Dif. Importe;ABC;Familia;Descripci�n;Desc. c�digo;VA_COLOR;VA_COLOR2;VA_TOOLTIP
1;686580;A.A.S. 100 MG 30 COMPRIMIDOS;0;jun-27;;1,05;0;1,45;0;0,4;0;;01;Especialidad;A.A.S. 100 MG 30 COMPRIMIDOS;;;
1;700693;A.A.S. 500 MG 20 COMPRIMIDOS;0;ago-27;;;;0;;;;;01;Especialidad;A.A.S. 500 MG 20 COMPRIMIDOS;;;
1;015503;ABE�ULA AZ GD;0;;;;;0;;;;;101;Parafarmacia;ABE�ULA AZ GD;;;
1;036420;ABE�ULA BL PQ;0;;;0;0;5,95;0;5,95;0;;101;Parafarmacia;ABE�ULA BL PQ;;;
1;720799;ABILIFY DIFARMED 10 MG 28 COMPRIMIDOS;0;ago-27;;;;0;;;;;01;Especialidad;ABILIFY DIFARMED 10 MG 28 COMPRIMIDOS;;;
1;720815;ABILIFY DIFARMED 15 MG 28 COMPRIMIDOS;0;ago-27;;;;0;;;;;01;Especialidad;ABILIFY DIFARMED 15 MG 28 COMPRIMIDOS;;;
1;701736;ABILIFY MAINTENA 400 MG 1 VIAL POLVO PARA SUSPENSION INYECTABLE LIBERACION PROLONGADA + 1 VIAL D;0;;;;;0;;;;;01;Especialidad;ABILIFY MAINTENA 400 MG 1 VIAL POLVO PARA SUSPENSION INYECTABLE LIBERACION PROLONGADA + 1 VIAL D;;;
1;764869;ABILIFY MAINTENA 960 MG 1 JERINGA PRECARGADA PARA SUSPENSION INYECTABLE LIBERACION PROLONGADA 3,;0;;;;;0;;;;;01;Especialidad;ABILIFY MAINTENA 960 MG 1 JERINGA PRECARGADA PARA SUSPENSION INYECTABLE LIBERACION PROLONGADA 3,;;;
1;652738;ABILIFY 1 MG/ML SOLUCION ORAL 1 FRASCO 150 ML;0;nov-27;;18,22;0;25,27;0;7,05;0;;01;Especialidad;ABILIFY 1 MG/ML SOLUCION ORAL 1 FRASCO 150 ML;;;
1;728196;ABILIFY 10 MG 28 COMPRIMIDOS;0;mar-27;;;;0;;;;;01;Especialidad;ABILIFY 10 MG 28 COMPRIMIDOS;;;
1;651608;ABILIFY 10 MG 28 COMPRIMIDOS BUCODISPERSABLES;0;jul-26;;34,02;0;47,18;0;13,16;0;;01;Especialidad;ABILIFY 10 MG 28 COMPRIMIDOS BUCODISPERSABLES;;;
1;728220;ABILIFY 15 MG 28 COMPRIMIDOS;0;;;;;0;;;;;01;Especialidad;ABILIFY 15 MG 28 COMPRIMIDOS;;;
1;728154;ABILIFY 5 MG 28 COMPRIMIDOS;0;abr-28;;17,01;0;23,59;0;6,58;0;;01;Especialidad;ABILIFY 5 MG 28 COMPRIMIDOS;;;
1;036421;ABOCA VITAMINA C NATURCOMPLEX PACK DUPLO 2X20 SOBRES 5 G;0;mar-28;;;;0;;;;;101;Parafarmacia;ABOCA VITAMINA C NATURCOMPLEX PACK DUPLO 2X20 SOBRES 5 G;;;
1;738376;ABRILIA EFG 20 MG 7 COMPRIMIDOS (BLISTER AL/AL/PA-PVC);0;;;6,42;0;8,9;0;2,48;0;;01;Especialidad;ABRILIA EFG 20 MG 7 COMPRIMIDOS (BLISTER AL/AL/PA-PVC);;;
1;478487;ABS PANTS DIA MEDIANO 80UI;0;jul-27;;0;0;31,14;0;31,14;0;;106;Efectos y accesorios;ABS PANTS DIA MEDIANO 80UI;;;
1;476267;ABS PANTS NOCHE GRANDE 80UI;0;dic-36;;;;0;;;;;106;Efectos y accesorios;ABS PANTS NOCHE GRANDE 80UI;;;
1;469452;ABS PANTS NOCHE MEDIANO 80UI;0;feb-30;;;;0;;;;;106;Efectos y accesorios;ABS PANTS NOCHE MEDIANO 80UI;;;
1;483404;ABS PANTS NUDE DIA GRD 80 UI;0;;;;;0;;;;;106;Efectos y accesorios;ABS PANTS NUDE DIA GRD 80 UI;;;
1;484899;ABS PANTS NUDE DIA MED 80 UI;0;;;;;0;;;;;106;Efectos y accesorios;ABS PANTS NUDE DIA MED 80 UI;;;
1;484972;ABS PANTS NUDE NOCH GRD 80 UI;0;jul-27;;;;0;;;;;106;Efectos y accesorios;ABS PANTS NUDE NOCH GRD 80 UI;;;
1;485029;ABS PANTS NUDE SNOCH GRD 80 UI;0;;;;;0;;;;;106;Efectos y accesorios;ABS PANTS NUDE SNOCH GRD 80 UI;;;
1;485011;ABS PANTS NUDE SNOCH MED 80 UI;0;;;;;0;;;;;106;Efectos y accesorios;ABS PANTS NUDE SNOCH MED 80 UI;;;
1;469460;ABS PANTS SNOCHE GRANDE 80UI;0;nov-27;;;;0;;;;;106;Efectos y accesorios;ABS PANTS SNOCHE GRANDE 80UI;;;Art�culos piso
1;476242;ABS PANTS SNOCHE MEDIANO 80UI;0;;;;;0;;;;;106;Efectos y accesorios;ABS PANTS SNOCHE MEDIANO 80UI;;;
1;492124;ABS-ECO ANAT ELAST DIA GD 80U;0;dic-27;;;;0;;;;;106;Efectos y accesorios;ABS-ECO ANAT ELAST DIA GD 80U;;;Art�culos piso
1;492132;ABS-ECO ANAT ELAST DIA MD 80U;0;nov-32;;;;0;;;;;106;Efectos y accesorios;ABS-ECO ANAT ELAST DIA MD 80U;;;Art�culos piso
1;476507;ABSORBENTE INCONTINENCIA ORINA DIA ANATOMICO ID EXPERT FORM 80 UNIDADES;0;;;0;0;31,14;0;31,14;0;;106;Efectos y accesorios;ABSORBENTE INCONTINENCIA ORINA DIA ANATOMICO ID EXPERT FORM 80 UNIDADES;;;
1;700725;ACALKA 1080 MG 100 COMPRIMIDOS LIBERACION PROLONGADA;0;jun-27;;;;0;;;;;01;Especialidad;ACALKA 1080 MG 100 COMPRIMIDOS LIBERACION PROLONGADA;;;
