COD_N1,COD_N2,COD_N3,COD_N4
A,A01,A01A,A01AA
A,A01,A01A,A01AB
A,A01,A01A,A01AC
A,A01,A01A,A01AD
A,A02,A02A,A02AA
A,A02,A02A,A02AB
A,A02,A02A,A02AC
A,A02,A02A,A02AD
A,A02,A02A,A02AF
A,A02,A02A,A02AH
A,A02,A02A,A02AX
A,A02,A02B,A02BA
A,A02,A02B,A02BB
A,A02,A02B,A02BC
A,A02,A02B,A02BD
A,A02,A02B,A02BX
A,A03,A03A,A03AA
A,A03,A03A,A03AB
A,A03,A03A,A03AD
A,A03,A03A,A03AE
A,A03,A03A,A03AX
A,A03,A03B,A03BA
A,A03,A03B,A03BB
A,A03,A03C,A03CA
A,A03,A03C,A03CB
A,A03,A03C,A03CC
A,A03,A03D,A03DA
A,A03,A03D,A03DB
A,A03,A03D,A03DC
A,A03,A03E,A03ED
A,A03,A03F,A03FA
A,A04,A04A,A04AA
A,A04,A04A,A04AD
A,A05,A05A,A05AA
A,A05,A05A,A05AX
A,A05,A05B,A05BA
A,A05,A05C,A05C P2
A,A06,A06A,A06AA
A,A06,A06A,A06AB
A,A06,A06A,A06AC
A,A06,A06A,A06AD
A,A06,A06A,A06AG
A,A06,A06A,A06AH
A,A06,A06A,A06AX
A,A07,A07A,A07AA
A,A07,A07A,A07AB
A,A07,A07A,A07AX
A,A07,A07B,A07BA
A,A07,A07B,A07BB
A,A07,A07B,A07BC
A,A07,A07C,A07CA
A,A07,A07D,A07DA
A,A07,A07E,A07EA
A,A07,A07E,A07EB
A,A07,A07E,A07EC
A,A07,A07F,A07FA
A,A07,A07X,A07XA
A,A08,A08A,A08A P1
A,A08,A08A,A08AA
A,A08,A08A,A08AB
A,A08,A08A,A08AX
A,A09,A09A,A09AA
A,A10,A10A,A10AB
A,A10,A10A,A10AC
A,A10,A10A,A10AD
A,A10,A10A,A10AE
A,A10,A10A,A10AF
A,A10,A10B,A10BA
A,A10,A10B,A10BB
A,A10,A10B,A10BD
A,A10,A10B,A10BF
A,A10,A10B,A10BG
A,A10,A10B,A10BH
A,A10,A10B,A10BJ
A,A10,A10B,A10BK
A,A10,A10B,A10BX
A,A10,A10X,A10X M1
A,A10,A10X,A10XA
A,A11,A11A,A11AA
A,A11,A11A,A11AB
A,A11,A11B,A11BA
A,A11,A11C,A11CA
A,A11,A11C,A11CB
A,A11,A11C,A11CC
A,A11,A11D,A11DA
A,A11,A11D,A11DB
A,A11,A11E,A11EA
A,A11,A11E,A11EB
A,A11,A11E,A11EX
A,A11,A11G,A11GA
A,A11,A11G,A11GB
A,A11,A11H,A11HA
A,A11,A11J,A11JA
A,A11,A11J,A11JB
A,A11,A11J,A11JC
A,A12,A12A,A12AA
A,A12,A12A,A12AX
A,A12,A12B,A12BA
A,A12,A12C,A12C P1
A,A12,A12C,A12CB
A,A12,A12C,A12CC
A,A12,A12C,A12CE
A,A12,A12C,A12CX
A,A14,A14A,A14AA
A,A14,A14A,A14AB
A,A16,,A16 P2
A,A16,A16A,A16A P1
A,A16,A16A,A16AA
A,A16,A16A,A16AB
A,A16,A16A,A16AX
B,B01,B01A,B01AA
B,B01,B01A,B01AB
B,B01,B01A,B01AC
B,B01,B01A,B01AD
B,B01,B01A,B01AE
B,B01,B01A,B01AF
B,B01,B01A,B01AX
B,B02,B02A,B02AA
B,B02,B02A,B02AB
B,B02,B02B,B02BA
B,B02,B02B,B02BB
B,B02,B02B,B02BC
B,B02,B02B,B02BD
B,B02,B02B,B02BX
B,B03,B03A,B03A M2
B,B03,B03A,B03A M3
B,B03,B03A,B03AA
B,B03,B03A,B03AB
B,B03,B03A,B03AC
B,B03,B03A,B03AD
B,B03,B03A,B03AE
B,B03,B03B,B03BA
B,B03,B03B,B03BB
B,B03,B03X,B03XA
B,B05,B05A,B05AA
B,B05,B05B,B05BA
B,B05,B05B,B05BB
B,B05,B05B,B05BC
B,B05,B05C,B05CX
B,B05,B05D,B05DA
B,B05,B05D,B05DB
B,B05,B05X,B05XA
B,B05,B05X,B05XB
B,B05,B05X,B05XC
B,B05,B05Z,B05ZA
B,B05,B05Z,B05ZB
B,B06,B06A,B06AA
B,B06,B06A,B06AB
B,B06,B06A,B06AC
B,B06,B06A,B06AX
C,C01,C01A,C01AA
C,C01,C01B,C01BA
C,C01,C01B,C01BB
C,C01,C01B,C01BC
C,C01,C01B,C01BD
C,C01,C01B,C01BG
C,C01,C01C,C01CA
C,C01,C01C,C01CE
C,C01,C01C,C01CX
C,C01,C01D,C01DA
C,C01,C01D,C01DX
C,C01,C01E,C01EA
C,C01,C01E,C01EB
C,C02,C02A,C02AB
C,C02,C02A,C02AC
C,C02,C02C,C02CA
C,C02,C02D,C02DA
C,C02,C02D,C02DB
C,C02,C02D,C02DC
C,C02,C02D,C02DD
C,C02,C02K,C02KD
C,C02,C02K,C02KX
C,C02,C02L,C02LA
C,C02,C02L,C02LC
C,C03,C03A,C03AA
C,C03,C03A,C03AX
C,C03,C03B,C03BA
C,C03,C03B,C03BX
C,C03,C03C,C03CA
C,C03,C03D,C03DA
C,C03,C03D,C03DB
C,C03,C03E,C03EA
C,C03,C03E,C03EB
C,C03,C03X,C03X M1
C,C03,C03X,C03X P1
C,C03,C03X,C03X P2
C,C03,C03X,C03XA
C,C04,C04A,C04A M1
C,C04,C04A,C04AA
C,C04,C04A,C04AB
C,C04,C04A,C04AD
C,C04,C04A,C04AE
C,C04,C04A,C04AX
C,C05,C05A,C05AA
C,C05,C05A,C05AD
C,C05,C05A,C05AE
C,C05,C05A,C05AX
C,C05,C05B,C05BA
C,C05,C05B,C05BB
C,C05,C05B,C05BX
C,C05,C05C,C05CA
C,C05,C05C,C05CX
C,C07,C07A,C07AA
C,C07,C07A,C07AB
C,C07,C07A,C07AG
C,C07,C07B,C07BB
C,C07,C07B,C07BG
C,C07,C07C,C07CA
C,C07,C07C,C07CB
C,C07,C07D,C07DB
C,C07,C07F,C07FB
C,C07,C07F,C07FX
C,C08,C08C,C08CA
C,C08,C08D,C08DA
C,C08,C08D,C08DB
C,C08,C08G,C08GA
C,C09,C09A,C09AA
C,C09,C09B,C09BA
C,C09,C09B,C09BB
C,C09,C09B,C09BX
C,C09,C09C,C09CA
C,C09,C09D,C09DA
C,C09,C09D,C09DB
C,C09,C09D,C09DX
C,C09,C09X,C09XA
C,C10,C10A,C10AA
C,C10,C10A,C10AB
C,C10,C10A,C10AC
C,C10,C10A,C10AD
C,C10,C10A,C10AX
C,C10,C10B,C10BA
C,C10,C10B,C10BX
D,D01,D01A,D01AA
D,D01,D01A,D01AC
D,D01,D01A,D01AE
D,D01,D01B,D01BA
D,D02,D02A,D02AA
D,D02,D02A,D02AB
D,D02,D02A,D02AC
D,D02,D02A,D02AE
D,D02,D02A,D02AX
D,D03,D03A,D03AX
D,D03,D03B,D03BA
D,D04,D04A,D04AA
D,D04,D04A,D04AB
D,D04,D04A,D04AX
D,D05,D05A,D05AA
D,D05,D05A,D05AC
D,D05,D05A,D05AD
D,D05,D05A,D05AX
D,D05,D05B,D05BA
D,D05,D05B,D05BB
D,D06,D06A,D06AA
D,D06,D06A,D06AX
D,D06,D06B,D06BA
D,D06,D06B,D06BB
D,D06,D06B,D06BX
D,D07,D07A,D07AA
D,D07,D07A,D07AB
D,D07,D07A,D07AC
D,D07,D07A,D07AD
D,D07,D07B,D07BA
D,D07,D07B,D07BB
D,D07,D07B,D07BC
D,D07,D07C,D07CA
D,D07,D07C,D07CB
D,D07,D07C,D07CC
D,D07,D07X,D07XA
D,D07,D07X,D07XB
D,D07,D07X,D07XC
D,D08,D08A,D08AC
D,D08,D08A,D08AD
D,D08,D08A,D08AE
D,D08,D08A,D08AF
D,D08,D08A,D08AG
D,D08,D08A,D08AH
D,D08,D08A,D08AJ
D,D08,D08A,D08AK
D,D08,D08A,D08AL
D,D08,D08A,D08AX
D,D09,D09A,D09A M1
D,D09,D09A,D09AA
D,D09,D09A,D09AX
D,D10,D10A,D10AD
D,D10,D10A,D10AE
D,D10,D10A,D10AF
D,D10,D10A,D10AX
D,D10,D10B,D10BA
D,D10,D10B,D10BX
D,D11,D11A,D11AA
D,D11,D11A,D11AC
D,D11,D11A,D11AF
D,D11,D11A,D11AH
D,D11,D11A,D11AX
G,G01,G01A,G01AA
G,G01,G01A,G01AC
G,G01,G01A,G01AD
G,G01,G01A,G01AF
G,G01,G01A,G01AG
G,G01,G01A,G01AX
G,G01,G01B,G01BA
G,G02,G02A,G02AB
G,G02,G02A,G02AD
G,G02,G02B,G02BA
G,G02,G02B,G02BB
G,G02,G02C,G02CA
G,G02,G02C,G02CB
G,G02,G02C,G02CC
G,G02,G02C,G02CX
G,G03,G03A,G03AA
G,G03,G03A,G03AB
G,G03,G03A,G03AC
G,G03,G03A,G03AD
G,G03,G03B,G03BA
G,G03,G03B,G03BB
G,G03,G03C,G03CA
G,G03,G03C,G03CB
G,G03,G03C,G03CC
G,G03,G03C,G03CX
G,G03,G03D,G03DA
G,G03,G03D,G03DB
G,G03,G03D,G03DC
G,G03,G03E,G03EA
G,G03,G03F,G03FA
G,G03,G03F,G03FB
G,G03,G03G,G03GA
G,G03,G03G,G03GB
G,G03,G03H,G03HA
G,G03,G03H,G03HB
G,G03,G03X,G03XA
G,G03,G03X,G03XB
G,G03,G03X,G03XC
G,G03,G03X,G03XX
G,G04,G04B,G04BC
G,G04,G04B,G04BD
G,G04,G04B,G04BE
G,G04,G04B,G04BX
G,G04,G04C,G04CA
G,G04,G04C,G04CB
G,G04,G04C,G04CX
H,H01,H01A,H01AA
H,H01,H01A,H01AB
H,H01,H01A,H01AC
H,H01,H01A,H01AX
H,H01,H01B,H01BA
H,H01,H01B,H01BB
H,H01,H01C,H01CA
H,H01,H01C,H01CB
H,H01,H01C,H01CC
H,H02,H02A,H02AA
H,H02,H02A,H02AB
H,H02,H02B,H02BX
H,H02,H02C,H02CA
H,H03,H03A,H03AA
H,H03,H03B,H03BB
H,H03,H03C,H03CA
H,H04,H04A,H04AA
H,H05,H05A,H05AA
H,H05,H05B,H05BA
H,H05,H05B,H05BX
J,J01,J01A,J01AA
J,J01,J01B,J01BA
J,J01,J01C,J01CA
J,J01,J01C,J01CE
J,J01,J01C,J01CF
