COD_N4,N4_SUBG_QUIMICO_TERAP_FARMAT,COD_N3,N3_SUBG_TERAP_FARMAT,COD_N2,N2_SBG_TERAP_PPAL,COD_N1,N1_GRUPO_ANATOMICO
A01AA,Agentes para la profilaxis de las caries,A01A,Preparados estomatológicos,A01,Preparados estomatológicos,A,Tracto alimentario y metabolismo
A01AB,Antiinfecciosos y antisépticos para tratamiento oral-local,A01A,Preparados estomatológicos,A01,Preparados estomatológicos,A,Tracto alimentario y metabolismo
A01AC,Corticosteroides para tratamiento oral local,A01A,Preparados estomatológicos,A01,Preparados estomatológicos,A,Tracto alimentario y metabolismo
A01AD,Otros agentes para tratamiento oral local,A01A,Preparados estomatológicos,A01,Preparados estomatológicos,A,Tracto alimentario y metabolismo
A02AA,Compuestos de magnesio,A02A,Antiácidos,A02,Agentes para el tratamiento de alteraciones causadas por ácidos,A,Tracto alimentario y metabolismo
A02AB,Compuestos de aluminio,A02A,Antiácidos,A02,Agentes para el tratamiento de alteraciones causadas por ácidos,A,Tracto alimentario y metabolismo
A02AC,Compuestos de calcio,A02A,Antiácidos,A02,Agentes para el tratamiento de alteraciones causadas por ácidos,A,Tracto alimentario y metabolismo
A02AD,"Asociaciones y complejos de compuestos de aluminio, calcio y magnesio",A02A,Antiácidos,A02,Agentes para el tratamiento de alteraciones causadas por ácidos,A,Tracto alimentario y metabolismo
A02AF,Antiácidos con antiflatulentos,A02A,Antiácidos,A02,Agentes para el tratamiento de alteraciones causadas por ácidos,A,Tracto alimentario y metabolismo
A02AH,Antiácidos con bicarbonato de sodio,A02A,Antiácidos,A02,Agentes para el tratamiento de alteraciones causadas por ácidos,A,Tracto alimentario y metabolismo
A02AX,Antiácidos otras asociaciones,A02A,Antiácidos,A02,Agentes para el tratamiento de alteraciones causadas por ácidos,A,Tracto alimentario y metabolismo
A02BA,Antagonistas del receptor H2,A02B,Agentes contra la úlcera péptica y el reflujo gastroesofágico (RGE),A02,Agentes para el tratamiento de alteraciones causadas por ácidos,A,Tracto alimentario y metabolismo
A02BB,Prostaglandinas,A02B,Agentes contra la úlcera péptica y el reflujo gastroesofágico (RGE),A02,Agentes para el tratamiento de alteraciones causadas por ácidos,A,Tracto alimentario y metabolismo
A02BC,Inhibidores de la bomba de protones,A02B,Agentes contra la úlcera péptica y el reflujo gastroesofágico (RGE),A02,Agentes para el tratamiento de alteraciones causadas por ácidos,A,Tracto alimentario y metabolismo
A02BD,Asociaciones para erradicación de Helicobacter pylori,A02B,Agentes contra la úlcera péptica y el reflujo gastroesofágico (RGE),A02,Agentes para el tratamiento de alteraciones causadas por ácidos,A,Tracto alimentario y metabolismo
A02BX,Otros agentes contra la úlcera péptica y el reflujo gastroesofágico (RGE),A02B,Agentes contra la úlcera péptica y el reflujo gastroesofágico (RGE),A02,Agentes para el tratamiento de alteraciones causadas por ácidos,A,Tracto alimentario y metabolismo
A03AA,"Anticolinérgicos sintéticos, ésteres con grupo amino terciario",A03A,Agentes contra padecimientos funcionales gastrointestinales,A03,Agentes contra padecimientos funcionales del estómago e intestino,A,Tracto alimentario y metabolismo
A03AB,"Anticolinérgicos sintéticos, compuestos de amonio cuaternario",A03A,Agentes contra padecimientos funcionales gastrointestinales,A03,Agentes contra padecimientos funcionales del estómago e intestino,A,Tracto alimentario y metabolismo
A03AD,Papaverina y derivados,A03A,Agentes contra padecimientos funcionales gastrointestinales,A03,Agentes contra padecimientos funcionales del estómago e intestino,A,Tracto alimentario y metabolismo
A03AE,Antagonistas de los receptores de seretonina,A03A,Agentes contra padecimientos funcionales gastrointestinales,A03,Agentes contra padecimientos funcionales del estómago e intestino,A,Tracto alimentario y metabolismo
A03AX,Otros agentes contra padecimientos funcionales gastrointestinales,A03A,Agentes contra padecimientos funcionales gastrointestinales,A03,Agentes contra padecimientos funcionales del estómago e intestino,A,Tracto alimentario y metabolismo
A03BA,"Alcaloides de la belladona, aminas terciarias",A03B,"Belladona y derivados, monofármacos",A03,Agentes contra padecimientos funcionales del estómago e intestino,A,Tracto alimentario y metabolismo
A03BB,"Alcaloides semisintéticos de la belladona, compuestos de amonio cuaternario",A03B,"Belladona y derivados, monofármacos",A03,Agentes contra padecimientos funcionales del estómago e intestino,A,Tracto alimentario y metabolismo
A03CA,Anticolinérgicos sintéticos asociados con psicolépticos,A03C,Antiespasmódicos asociados con psicolépticos,A03,Agentes contra padecimientos funcionales del estómago e intestino,A,Tracto alimentario y metabolismo
A03CB,Belladona y derivados asociados con psicolépticos,A03C,Antiespasmódicos asociados con psicolépticos,A03,Agentes contra padecimientos funcionales del estómago e intestino,A,Tracto alimentario y metabolismo
A03CC,Otros antiespasmódicos asociados con psicolépticos,A03C,Antiespasmódicos asociados con psicolépticos,A03,Agentes contra padecimientos funcionales del estómago e intestino,A,Tracto alimentario y metabolismo
A03DA,Anticolinérgicos sintéticos asociados con analgésicos,A03D,Antiespasmódicos asociados con analgésicos,A03,Agentes contra padecimientos funcionales del estómago e intestino,A,Tracto alimentario y metabolismo
